iter	Passed	Remaining
0	153	153095
1	154	77111
2	157	52454
3	158	39563
4	159	31818
5	161	26674
6	162	23050
7	163	20306
8	164	18147
9	165	16415
10	166	15004
11	167	13821
12	168	12820
13	169	11961
14	172	11358
15	174	10703
16	175	10168
17	177	9662
18	178	9210
19	179	8808
20	180	8435
21	182	8101
22	183	7798
23	184	7511
24	187	7331
25	189	7087
26	190	6855
27	191	6643
28	192	6443
29	193	6255
30	194	6080
31	195	5914
32	196	5760
33	197	5618
34	198	5481
35	199	5351
36	203	5294
37	204	5176
38	205	5064
39	206	4959
40	207	4856
41	208	4761
42	209	4669
43	210	4580
44	211	4494
45	212	4412
46	213	4334
47	214	4258
48	218	4241
49	219	4173
50	220	4108
51	221	4044
52	222	3981
53	223	3921
54	224	3863
55	225	3807
56	226	3754
57	228	3704
58	229	3654
59	232	3642
60	233	3597
61	234	3550
62	235	3506
63	236	3463
64	238	3424
65	239	3383
66	240	3343
67	241	3304
68	242	3266
69	243	3229
70	245	3207
71	250	3226
72	251	3196
73	252	3162
74	253	3129
75	254	3098
76	255	3066
77	256	3035
78	258	3008
79	259	2979
80	260	2950
81	263	2950
82	264	2921
83	265	2896
84	266	2870
85	267	2845
86	268	2819
87	269	2795
88	270	2771
89	273	2768
90	275	2748
91	278	2750
92	279	2728
93	280	2705
94	281	2684
95	282	2663
96	283	2641
97	284	2621
98	286	2603
99	287	2583
100	288	2564
101	289	2546
102	290	2528
103	293	2530
104	294	2512
105	295	2494
106	296	2477
107	297	2459
108	298	2442
109	300	2429
110	301	2416
111	303	2406
112	305	2396
113	310	2411
114	311	2400
115	313	2390
116	314	2375
117	315	2361
118	316	2346
119	318	2332
120	319	2318
121	320	2303
122	320	2288
123	324	2290
124	325	2278
125	326	2265
126	327	2251
127	328	2238
128	329	2225
129	330	2213
130	331	2202
131	333	2189
132	333	2176
133	334	2164
134	335	2152
135	339	2153
136	340	2146
137	342	2137
138	343	2126
139	344	2116
140	346	2109
141	346	2096
142	347	2084
143	348	2074
144	349	2063
145	350	2052
146	354	2057
147	355	2048
148	356	2038
149	357	2028
150	358	2017
151	359	2007
152	360	1997
153	361	1988
154	363	1979
155	364	1970
156	365	1960
157	366	1950
158	369	1954
159	370	1944
160	371	1934
161	372	1924
162	373	1916
163	374	1907
164	375	1898
165	376	1890
166	377	1881
167	378	1874
168	379	1867
169	380	1860
170	384	1862
171	385	1854
172	386	1846
173	387	1839
174	388	1831
175	389	1823
176	390	1816
177	391	1809
178	392	1802
179	393	1794
180	395	1788
181	398	1790
182	399	1783
183	400	1776
184	401	1768
185	402	1761
186	403	1755
187	405	1749
188	406	1742
189	407	1735
190	408	1728
191	409	1722
192	412	1726
193	415	1727
194	418	1727
195	419	1720
196	420	1714
197	421	1707
198	422	1700
199	423	1694
200	425	1689
201	425	1682
202	428	1682
203	430	1677
204	431	1675
205	432	1668
206	434	1662
207	435	1656
208	436	1651
209	438	1647
210	439	1643
211	440	1637
212	443	1636
213	445	1635
214	446	1629
215	447	1623
216	448	1617
217	449	1611
218	450	1606
219	451	1600
220	452	1595
221	453	1590
222	455	1585
223	456	1580
224	458	1580
225	460	1575
226	461	1570
227	462	1564
228	463	1559
229	464	1555
230	465	1551
231	466	1545
232	468	1540
233	469	1535
234	470	1530
235	472	1531
236	474	1527
237	475	1522
238	476	1517
239	477	1513
240	479	1511
241	481	1507
242	482	1502
243	483	1498
244	485	1496
245	490	1504
246	492	1500
247	493	1496
248	494	1492
249	495	1487
250	497	1483
251	498	1479
252	499	1475
253	502	1475
254	504	1473
255	505	1469
256	507	1466
257	508	1461
258	509	1457
259	512	1457
260	514	1457
261	518	1461
262	520	1459
263	522	1457
264	524	1453
265	525	1450
266	527	1446
267	528	1444
268	530	1440
269	535	1447
270	536	1444
271	538	1440
272	539	1437
273	542	1437
274	544	1434
275	545	1430
276	549	1434
277	550	1429
278	551	1425
279	552	1421
280	554	1418
281	555	1415
282	557	1411
283	558	1407
284	559	1404
285	564	1408
286	565	1405
287	567	1401
288	568	1399
289	570	1396
290	572	1393
291	573	1390
292	574	1387
293	578	1390
294	580	1387
295	581	1383
296	582	1379
297	583	1374
298	584	1370
299	585	1366
300	586	1362
301	588	1360
302	589	1356
303	590	1352
304	594	1354
305	595	1350
306	596	1346
307	597	1342
308	598	1338
309	599	1335
310	600	1331
311	601	1327
312	603	1323
313	604	1319
314	605	1316
315	608	1316
316	609	1313
317	610	1309
318	611	1305
319	612	1301
320	613	1298
321	614	1294
322	615	1290
323	616	1287
324	617	1283
325	618	1279
326	619	1275
327	622	1275
328	623	1272
329	625	1268
330	625	1265
331	626	1261
332	627	1257
333	629	1254
334	630	1251
335	631	1247
336	632	1244
337	633	1241
338	634	1237
339	637	1238
340	639	1235
341	640	1231
342	641	1228
343	642	1225
344	643	1222
345	645	1219
346	646	1216
347	647	1213
348	649	1210
349	650	1207
350	653	1208
351	654	1204
352	655	1201
353	656	1197
354	657	1194
355	658	1191
356	659	1188
357	661	1185
358	662	1182
359	663	1179
360	664	1176
361	666	1175
362	670	1176
363	672	1174
364	673	1171
365	674	1169
366	676	1166
367	677	1163
368	678	1161
369	682	1161
370	683	1158
371	684	1155
372	687	1154
373	688	1152
374	689	1149
375	691	1148
376	696	1150
377	698	1148
378	699	1146
379	701	1145
380	705	1145
381	706	1143
382	710	1144
383	712	1142
384	713	1140
385	715	1138
386	716	1135
387	718	1132
388	719	1130
389	721	1128
390	730	1137
391	732	1135
392	733	1133
393	735	1131
394	737	1128
395	738	1126
396	742	1127
397	746	1128
398	748	1127
399	749	1124
400	751	1122
401	753	1120
402	757	1121
403	759	1119
404	760	1116
405	761	1114
406	763	1112
407	764	1109
408	765	1106
409	767	1103
410	772	1107
411	775	1106
412	777	1104
413	778	1102
414	779	1099
415	780	1096
416	782	1093
417	789	1099
418	793	1099
419	797	1100
420	802	1103
421	807	1106
422	819	1117
423	821	1116
424	823	1113
425	825	1112
426	828	1111
427	831	1111
428	833	1109
429	835	1107
430	837	1105
431	838	1102
432	840	1100
433	841	1097
434	843	1095
435	844	1092
436	847	1092
437	849	1089
438	850	1086
439	852	1084
440	855	1083
441	856	1081
442	857	1078
